# OLD_NAME, NEW_NAME
Ruy de Queiroz,Ruy J. G. B. de Queiroz
Mark Fiers,Mark W. E. J. Fiers
Ya-dong Wang,Yadong Wang
Jacques Malenfant. Proto-Reflex,Jacques Malenfant
Tim Peeters,Tim H. J. M. Peeters
I. Karali,Isambo Karali
Stanley Lippman,Stanley B. Lippman
F. Kastensmidt,Fernanda Gusmao de Lima Kastensmidt
M. Rodica Brânzei,Rodica Branzei
Lilia Gzara-Yesilbas,Lilia Gzara Yesilbas
D. R. C. Hill,David R. C. Hill
Matthew Storch,Matthew F. Storch
Jelassi T,Tawfik Jelassi
Lindsay J. Groves,Lindsay Groves
Khoi Anh Phan,Thi Khoi Anh Phan
Josh Fazekas,Joshua Fazekas
Katerina Raptopoulouity,Katerina Raptopoulou
D. Song,Dawn Xiaodong Song
Argemiro João Paiva,João Argemiro Carvalho Paiva
João Argemiro Paiva,João Argemiro Carvalho Paiva
Kenneth Sörenson,Kenneth Sörensen
Kenneth Sösrensen,Kenneth Sörensen
Elías Herrero-Jaraba,José Elías Herrero Jaraba
José Elías Herrero,José Elías Herrero Jaraba
D. Gottlieb,David I. Gottlieb
David Gottlieb,David I. Gottlieb
H. D. K. Moonesighne,H. D. K. Moonesinghe
ChanYeol Park,Chan Yeol Park
P. D. Richardson,Peter Richardson
I. V. Pivkin,Igor Pivkin
Manoli M. Tsangaris,Manolis M. Tsangaris
Rogerio Andrade Flauzino,Rogério Andrade Flauzino
Maria Osorio,Maria A. Osorio
Pim van den Broeck,Pim van den Broek
S. Garlatti,Serge Garlatti
Pawel Karczmarek,Pawel Kaczmarek
C. Yeh,Chao-Yang Yeh
Anne Magaly Canuto,Anne M. P. Canuto
David Noblet,David A. Noblet
Z. J. Tian,Zhongjun Tian
Margarida Vav Pato,Margarida Vaz Pato
Renato Hentschke,Renato Fernandes Hentschke
R. Johari,Rozita Johari
Thomas Schwarz,Thomas J. E. Schwarz
Thomas S. J. Schwarz,Thomas J. E. Schwarz
D. R. D. Russell Luke,D. Russell Luke
P. Hansen,Pierre Hansen
Sostenes Lins,Sóstenes Lins
Luís C. Dias,Luis C. Dias
José Elias Herrero Jaraba,José Elías Herrero Jaraba
N. Mladenovic,Nenad Mladenovic
Forrest H. Bennett,Forrest H. Bennett III
João P. Costa,João Paulo Costa
M. A. Goberna,Miguel A. Goberna
Nikolai Gil,Nikolay Gil
Jane L. Pryor,Jane Pryor
Jan Manuch,Ján Manuch
Gennadi Malaschonok,Gennadi I. Malaschonok
G. I. Malaschonok,Gennadi I. Malaschonok
Jaques Chauché,Jacques Chauché
Jacques Chauche,Jacques Chauché
Shenchih Tung,Shen Chih Tung
Michael Hieb,Michael R. Hieb
George M. Papadopoulos,Gregory M. Papadopoulos
Christian Bastien,J. M. Christian Bastien
P. Guo,Peijun Guo
V. A. Strusevich,Vitaly A. Strusevich
Devrim Aksin,Devrim Yilmaz Aksin
S. M. Cuddy,Susan M. Cuddy
D. M. Ingram,David Ingram
N. Dellaert,Nico P. Dellaert
Fernanda Alencar,Fernanda M. R. Alencar
Fernanda M. R. de Alencar,Fernanda M. R. Alencar
Fred Freitas,Frederico Luiz Gonçalves de Freitas
M. Herbin,Michel Herbin
Edward Kaiser,Edward C. Kaiser
Ed Kaiser,Edward C. Kaiser
Harrie De Swart,Harrie C. M. de Swart
Harrie de Swart,Harrie C. M. de Swart
John M. Pearson,John Michael Pearson
J. Michael Pearson,John Michael Pearson
Ken Wood,Kenneth R. Wood
Christopher J. Lindblad,Christopher Lindblad
Maria A. Perez,María A. Pérez
Cesar A. C. Texeira,César A. C. Teixeira
Alison Sue,Alison E. Sue
Garett O. Dwormann,Garett O. Dworman
Haowei Hsieh,Hao-wei Hsieh
B. Panda,Brajendra Panda
Pamela Jordon,Pamela W. Jordan
Renato F. Bulcao Neto,Renato Bulcão Neto
J. R Votaw,John R. Votaw
David Gilmore,David J. Gilmore
T. Elgamal,Taher El Gamal
R. W. Tibbs,Richard W. Tibbs
Ron Pearson,Ronald K. Pearson
P. A. Martinez,Pedro A. Martínez
J. C. Batsale,Jean-Christophe Batsale
Ladislau Boloni,Ladislau Bölöni
M. Wroblewski,Marek Wróblewski
E. J. Derrick,E. Joseph Derrick
Al Rizzi,Alfred Rizzi
C. Chiasserini,Carla-Fabiana Chiasserini
Wendy Mackay,Wendy E. Mackay
Howard Sholl,Howard A. Sholl
José Demisio S. da Silva,José Demisio Simões da Silva
J. P. Robelly,Pablo Robelly
Bugra Koku,A. Bugra Koku
Miguel Ángel Gonzalez Ballester,Miguel Ángel González Ballester
J. W. Tschanz,James Tschanz
Dimitris Kagaris,Dimitri Kagaris
J. Mathew,Jimson Mathew
S. Semprini,Simone Semprini
Siva Velusamy,Sivakumar Velusamy
Melikhov Konstantin,Konstantin Melikhov
YongSin Kim,Yong Sin Kim
HockSoon Seah,Hock Soon Seah
R. Haeb-Umbach,Reinhold Haeb-Umbach
L'Hedi Zaher,L'Hédi Zaher
Stan Schneider,Stanley A. Schneider
Stan A. Schneider,Stanley A. Schneider
Raghuveer O. Rao,Raghuveer M. Rao
R. Rao,Raghuveer M. Rao
G. Motta,Giovanni Motta
Young Chul Kim,Youngchul Kim
Dimitri Van de Ville,Dimitri Van De Ville
A. Chia,Alex Yong Sang Chia
G. Seetharaman,Guna Seetharaman
DongMei Li,Dongmei Li
Toribio Fernandez Otero,Toribio Fernández Otero
Xiu-Li Ma,Xiuli Ma
Eduardo Sontag,Eduardo D. Sontag
Adrie Beulens,Adrie J. M. Beulens
Frédéric Lefebvre,Frédéric Lefèbvre
J. Czyz,Jacek Czyz
I. Kogan,Irina A. Kogan
Kiran Chatty,Kiran V. Chatty
H. H. P. Wu,Hsien-Huang P. Wu
T. P. Nguyen,Thinh Nguyen
Chris Messom,Chris H. Messom
Alethea S. Bair,Alethea Bair
Sophia Hinga,Sophia W. Hinga
R. Mercer,Robert L. Mercer
Gregoire Pau,Grégoire Pau
Robert I. BobMcKay,Robert I. McKay
Bon-Seok Koo,Bonseok Koo
Erica Jewell,Erica G. Jewell
Rich Witek,Richard T. Witek
Chin-Laung c Lei,Chin-Laung Lei
James Crowley,James L. Crowley
L. Pollak,Ilya Pollak
Y. Takishima,Yasuhiro Takishima
Jyrki Lahtonen,Jyrki T. Lahtonen
Francois Pitié,François Pitié
Paulo Sergio Lopes des Souza,Paulo Sergio Lopes de Souza
Milan Hodoek,Milan Hodoscek
A. Kassim,Ashraf A. Kassim
N. Yagi,Nobuyuki Yagi
T. Umeda,Toshiyuki Umeda
Jessica Lanzoni,Jessica A. Lanzoni
Emmanuel Yera,Emmanuel R. Yera
Marcus Rocha,Marcus M. Rocha
C. Alvino,Christopher V. Alvino
B. Vasic,Bane V. Vasic
G. Fahmy,Gamal Fahmy
Gianpiero Panci,Giampiero Panci
M. F. Hansen,Mads Fogtmann Hansen
Franc Noel,Franc E. Noel
A. Kubota,Akira Kubota
Alfons Salden,Alfons H. Salden
Ulrich Eisenecker,Ulrich W. Eisenecker
Roberto Bochicchio,Roberto C. Bochicchio
Michael A. Savelonas,Michalis A. Savelonas
T. Ohtsuka,Tomohiko Ohtsuka
Robert Hanisch,Robert J. Hanisch
Dan Weller,Daniel L. Weller
B. Motlagh,Bahman S. Motlagh
Alexei Orlov,Alexei O. Orlov
Cai-Ming Zhang,Caiming Zhang
Casey Fung,Casey K. Fung
Hiep Luong,Hiêp Luong
J. Wus,John Wus
Jose Maranhao,Jose Maranhao Neto
K. Schindler,Konrad Schindler
Solomon Eyal,Solomon Eyal Shimony
Vivek Pai,Vivek S. Pai
Christine Richardson,Christine M. Richardson
Giorgio Ingargiola,Giorgio P. Ingargiola
Shamkant Navathe,Shamkant B. Navathe
Martin Yetterli,Martin Vetterli
Brian Twichell,Brian C. Twichell
Sibylle Fröschle,Sibylle B. Fröschle
E. Boix,Eric Boix
Susan Yager,Susan E. Yager
Stephen Perelgut,Stephen G. Perelgut
Abel Lin,Abel W. Lin
Dimitris Maroulis,Dimitrios E. Maroulis
M. Kampmann,Markus Kampmann
S. S. Cheung,Sen-Ching S. Cheung
J. L. Sancho,José-Luis Sancho-Gómez
Olorunsola Agbaje,Olorunsola F. Agbaje
Joseph Foster,Joseph W. Foster
Jessie Kennedy,Jessie B. Kennedy
Wen-Zhe Cui,Wenzhe Cui
J. Dinten,Jean-Marc Dinten
Ranz Bayer,Franz Bayer
V. Coenen,Volker A. Coenen
Weldon Lodwick,Weldon A. Lodwick
Allen Malony,Allen D. Malony
Abdel Dalhoum,Abdel A. Dalhoum
Jai Hie Kim,Jaihie Kim
Michael Ruprecht,Michael W. Ruprecht
K. Shinoda,Koichi Shinoda
Debra Hope,Debra A. Hope
S. Mann,Steve Mann
Dan Hoelting,Daniel Hoelting
Rufin VanRullen,Rufin van Rullen
S. Furui,Sadaoki Furui
Will Spooner,William Spooner
Alex Dean,Alexander G. Dean
Tom Dybala,Tomasz Dybala
Ana Moreno,Ana María Moreno
David Lehn,David I. Lehn
Martijn Bennebroek,Martijn T. Bennebroek
Byung-Sang Kim,Byungsang Kim
Shengyuan Li. Huseyin Dinc,Shengyuan Li
Paul Clements,Paul C. Clements
ZhiHua Wang,Zhihua Wang
Tramm Hudson,Trammell Hudson
Tariq Aldowaisan,Tariq A. Aldowaisan
Jun Feng,Judy Jun Feng
Judy Feng,Judy Jun Feng
H. G. Solheim,Helge Grenager Solheim
Helge Solheim,Helge Grenager Solheim
S. Tinella,Stefano Tinella
Yijen L. Wu,Yi-Jen Lin Wu
Jian-Qiang Lü,James (JianQiang) Lü
Juan Suardíaz,Juan Suardíaz Muro
Havard Jorgensen,Håvard D. Jørgensen
J.-B. Sibarita,Jean-Baptiste Sibarita
F. Peyrin,Françoise Peyrin
David Andrews,David L. Andrews
Annie Y. Zeng,Annie (Yujuan) Zeng
Ze-Min Liu,Zemin Liu
Sandra Orchard,Sandra E. Orchard
T. Sheffler,Thomas J. Sheffler
S. Resnick,Susan M. Resnick
Daniel Lucredio,Daniel Lucrédio
Roxana Giandini,Roxana S. Giandini
Richard Copley,Richard R. Copley
Paul Kantor,Paul B. Kantor
Dao-Ying Pi,Daoying Pi
Elisa Gonzalez,Elisa Gonzalez Boix
Alessio Bue,Alessio Del Bue
Eimear E. Kenny,Eimear Kenny
L. Ng,Lydia Ng
Gonç R. Abecasis,Gonçalo R. Abecasis
William Farmerie,William G. Farmerie
Xian-Si Tan,Xiansi Tan
Heng-Qing Tong,Hengqing Tong
W. Porod,Wolfgang Porod
David Gilliam,David P. Gilliam
A. Imre,Alexandra Imre
Barry Lunt,Barry M. Lunt
Phil Ozersky,Philip Ozersky
Ray Peck,Raymond Peck
Robert Tijssen,Robert J. W. Tijssen
Yong-Cheng Wang,Yongcheng Wang
Baris Suzek,Baris E. Suzek
Gerassimos Barlas,Gerassimos D. Barlas
A. Orlov,Alexei O. Orlov
James McIninch,James D. McIninch
Richard Holt,Richard C. Holt
Irina Borisova,Irina V. Borisova
Larry D. Davis,Larry S. Davis
Xinming Huang,Xin-Ming Huang
David Ebert,David S. Ebert
E. Kerre,Etienne E. Kerre
Virgil Pavlu,Virgiliu Pavlu
Bruce Kim,Bruce C. Kim
Barry Fagin,Barry S. Fagin
James Laffey,James M. Laffey
Leila A. Takayama,Leila Takayama
Paulo Flores,Paulo F. Flores
Stuart Miyasato,Stuart R. Miyasato
Kevin Wise,Kevin D. Wise
Gregory S. Peterson,Gregory D. Peterson
Timothy Kunau,Timothy M. Kunau
Hong Lan Jin,Honglan Jin
Bruce Schachter,Bruce J. Schachter
Juhan-P. Ernits,Juhan P. Ernits
Juhan Ernits,Juhan P. Ernits
Michael Caspersen,Michael E. Caspersen
N. Obeid,Nadim Obeid
Deborah Tatar,Deborah G. Tatar
Robert Finn,Robert D. Finn
Kristian Simsarian,Kristian T. Simsarian
R. G. Minnich,Ronald Minnich
Simon Shim,Simon S. Y. Shim
Nai-Xiang Lian,Naixiang Lian
Kelli Slaten,Kelli M. Slaten
Al Roesler,Alvin W. Roesler
Michael Weiß,Michael Weiss
L. Kou,Lawrence T. Kou
Vladimir Melnik,Vladimir P. Melnik
A. J. Silis D. L. Webb,A. J. Silis
Li-Gang Liu,Ligang Liu
Rim Alhulou,Rim Al Hulou
Christine Orengo,Christine A. Orengo
Ben Fry,Benjamin Fry
Assaf Zeevi,Assaf J. Zeevi
Adam Slagell,Adam J. Slagell
Georgios Theodoropoulos,Georgios K. Theodoropoulos
Sam McLellan,Samuel G. McLellan
Erik Hendriks,Erik A. Hendriks
H. Jiawei,Hu Jiawei
Sueli B. T. Mendes,Sueli Bandeira Teixeira Mendes
Sueli Mendes,Sueli Bandeira Teixeira Mendes
Arch Robison,Arch D. Robison
M. Dove,Martin T. Dove
Anastasia Nikolskaya,Anastasia N. Nikolskaya
Ofer Gill,Ofer H. Gill
Sergio Quijada,Sergio E. Quijada
Wilhelm Berghom,Wilhelm Berghorn
D. Duce,David A. Duce
Martin Chapman,Martin D. Chapman
Uptal Banerjee,Utpal Banerjee
Marj Hericko,Marjan Hericko
Harold Sun,Harold C. Sun
Luigi Lo Iancono,Luigi Lo Iacono
Nishan Canagarajah,Cedric Nishan Canagarajah
Zhi-Feng Hao,Zhifeng Hao
Mei-Chun Hsu,Meichun Hsu
Tony Woo,Tony C. Woo
Wen-Jun Yang,Wenjun Yang
Delsey Sherrill,Delsey M. Sherrill
T. Fiez,Terri S. Fiez
Ozgur Sahingoz,Ozgur Koray Sahingoz
Ryan McFall,Ryan L. McFall
Aaron Barnes,Aaron C. Barnes
Simon Twigger,Simon N. Twigger
Benny Lo,Benny P. L. Lo
E. Steeg,Evan W. Steeg
Yi-long Chen,Yilong Chen
Vicky Papadopoulou,Vicky G. Papadopoulou
Jonathan Watkinson,Jonathan I. Watkinson
Irena Ali,Irena M. Ali
Michael Borden,Michael J. Borden
Andrei Malevsky,Andrei V. Malevsky
G. Konstantoulakis,George E. Konstantoulakis
Alex G. Dimakis,Alexandros G. Dimakis
Mary Granger,Mary J. Granger
M. Heizmann,Michael Heizmann
Dong Sung Kim,Dongsung Kim
Virgil Gligor,Virgil D. Gligor
Polina Oliferenko,Polina V. Oliferenko
Sun Ruizhi,Ruizhi Sun
RuiZhi Sun,Ruizhi Sun
Thomas Russ,Thomas A. Russ
Paula Swatman,Paula M. C. Swatman
Stefan Petters,Stefan M. Petters
Sharon Dennis,Sharon E. Dennis
L. Blaine,Lee Blaine
Bassem Alhalabi,Bassem A. Alhalabi
Yin-Shui Xia,Yinshui Xia
Robert Murphy,Robert B. Murphy
G. Argiroffo,Gabriela R. Argiroffo
N. Ahmad,Nesar Ahmad
Leszek Golonka,Leszek J. Golonka
Michael Wirthlin,Michael J. Wirthlin
De-Chen Zhan,De-chen Zhan
Salman Shaikh,Salman Z. Shaikh
Alo Lavie,Alon Lavie
MohammadReza Mousavi,Mohammad Reza Mousavi
Peivand Tehrani,Peivand F. Tehrani
P. Hung,Pi-hsia Hung
Madjid Tavan,Madjid Tavana
Jean Blair,Jean R. S. Blair
Linda Y. Zhang,Linda Yu Zhang
C. Stapleton,Christopher B. Stapleton
H.-W. Wang,Hongwei Wang
Ki-Song Yoon,Kisong Yoon
Qing-Chun Meng,Qingchun Meng
C.-H. Huang,Chih-Hsien Huang
Timothy Long,Timothy J. Long
Laura Grit,Laura E. Grit
J. Corbett,James C. Corbett
Carol Bocchini,Carol A. Bocchini
Tian-Lei Hu,Tianlei Hu
D. Schattschneider,Doris Schattschneider
Paul Neumann,Paul F. Neumann
Hsuam-Pu Chang,Hsuan-Pu Chang
Yue-ting Zhuang,Yueting Zhuang
Xun-Xue Cui,Xunxue Cui
H. Ohashi,Hirotada Ohashi
Si-Zhen Chu,Sizhen Chu
P. Swatman,Paul A. Swatman
Judith Olson,Judith S. Olson
J.-P. Barthès,Jean-Paul A. Barthès
GuiLing Wang,Guiling Wang
Howard Shrobe,Howard E. Shrobe
Markus Rozenkranz,Markus Rosenkranz
Edward Buckler,Edward S. Buckler
Mohammad Rahimi,Mohammad H. Rahimi
ZhiChang Qi,Zhichang Qi
Zhi-Chang Qi,Zhichang Qi
S. Chen,Sherry Y. Chen
Sherry Chen,Sherry Y. Chen
H.-J. Zhang,HongJiang Zhang
Don Needham,Donald M. Needham
Donald Needham,Donald M. Needham
H. Tong,Hanghang Tong
Robert Plemmons,Robert J. Plemmons
Guo-Ren Wang,Guoren Wang
E. Blevis,Eli Blevis
Z. Qiao,Yu Qiao
Haim Wolfson,Haim J. Wolfson
Y. Qiao,Ying Qiao
Jin-Hui Shan,Jinhui Shan
Q. Song,Qingfeng Song
Sergio Chapa,Sergio V. Chapa
A. R. Prasad,Anand R. Prasad
Mark Mergen,Mark F. Mergen
Mohsen AlSharif,Mohsen N. AlSharif
Herbert Sauro,Herbert M. Sauro
M. Kopec,Michal Kopec
X. X. Wang,Xunxian Wang
Makato Yasuhara,Makoto Yasuhara
Bruce Shapiro,Bruce E. Shapiro
A. K. Wong,Andrew K. C. Wong
S. N. Evans,Steven N. Evans
Frances Lo Presti,Francesco Lo Presti
Ching Yu Ng Willy,Ching Yu Ng
Zhao-Zhi Yang,Zhaozhi Yang
Dan Nussbaum,Daniel Nussbaum
U. Moon,Un-Ku Moon
Hai-Long Yao,Hailong Yao
Desmond Jordan,Desmond A. Jordan
Xiao-Lin Zhang,Xiaolin Zhang
C. Jones,Cliff B. Jones
C. B. Jones,Cliff B. Jones
Marco Santambrogio,Marco D. Santambrogio
Igor Ed. Zverovich,Igor E. Zverovich
L. M. A. Drummond,Lúcia Maria de A. Drummond
Francisco J. Romero-Campero,Francisco José Romero-Campero
Mike Mundy,Michael Mundy
GooYeon Lee,Goo Yeon Lee
Andre Florý,André Flory
Robert Coultrip,Robert L. Coultrip
Suzanne Paley,Suzanne M. Paley
S. Malassoitis,Sotiris Malassiotis
H. Kawaguchi,Hiroshi Kawaguchi
Jim Leebens-Mack,James Leebens-Mack
S. Nahavandri,Saeid Nahavandi
Cédric Teyssie,Cédric Teyssié
José Castaños,José G. Castaños
Warren A. Hunt,Warren A. Hunt Jr.
W. V. Walter,Wolfgang V. Walter
A. A. P. Pohl,Alexandre de Almeida Prado Pohl
Hausi Müller,Hausi A. Müller
Dogˇan Kaya,Dogan Kaya
J. J. Rodríguez Andina,Juan J. Rodríguez-Andina
Pat McCarthy,Patrick McCarthy
B. Sjögreen,Björn Sjögreen
K. Thrampoulidis,K. X. Thrampoulidis
M. R. Mousavi,Mohammad Reza Mousavi
Omar Alhazmi,Omar H. Alhazmi
James Lester,James C. Lester
Xiao-Lin Qin,Xiaolin Qin
Ben M. Good,Benjamin M. Good
D. Zegour,Djamel Eddine Zegour
S. F. Wu,Shyhtsun Felix Wu
A. Apon,Amy W. Apon
Káthia M. de Oliveira,Káthia Marçal de Oliveira
Antonio B. Ferrari,António de Brito Ferrari
Annabel Todd,Annabel E. Todd
I. Gijbels,Irène Gijbels
Gunther Weber,Gunther H. Weber
Jon Kerridge,Jon M. Kerridge
Viet Huynh Quang Huy,Huynh Quang Huy Viet
Antony Quinn,Antony F. Quinn
A. Narayan,Amit Narayan
Frank Rosler,Frank Rößler
Travis R. Rose,R. Travis Rose
Alfio Gliozzo,Alfio Massimiliano Gliozzo
Juan José Martinez,Juan José Martínez
Alan Shih,Alan M. Shih
K. Muhammad,Khurram Muhammad
Francis Crowe,Francis M. Crowe
Malini. B. Nayak,Malini B. Nayak
Linda Lesniak,Linda M. Lesniak
J. L. Pinto,João L. Pinto
D. S. Ha,Dong Sam Ha
Chris Lee,Christopher P. Lee
Chris P. Lee,Christopher P. Lee
Péter Szeredi,János Szeredi
Janos Szeredi,János Szeredi
Bruce Parrello,Bruce D. Parrello
B. Parrello,Bruce D. Parrello
Mohamed Farid El-Hawary,Mohamed Farid Elhawary
Mohamed Elhawary,Mohamed Farid Elhawary
Ning Peng,Peng Ning
Anh-Nguyen Quynh,Anh-Quynh Nguyen
Ana Garis,Ana Gabriela Garis
Xianping Tao,XianPing Tao
Jian-Hua Feng,Jianhua Feng
Norm P. Jouppi,Norman P. Jouppi
Jayalakshmi M.,M. Jayalakshmi
Nenad Nikolic,Nenad V. Nikolic
Anthony Fu,Anthony Y. Fu
Evan Kranakis,Evangelos Kranakis
Phil Buonadonna,Philip Buonadonna
Ki-Tae Shin,Kitae Shin
Janice Coen,Janice L. Coen
Christian Bogdan,Cristian Bogdan
German Spangenberg,German C. Spangenberg
P. Szeredy,Péter Szeredi
Jarosl Opatrny,Jaroslav Opatrny
Charles Dolan,Charles P. Dolan
Pinar Korkrnaz,Pinar Korkmaz
Haesun Lee,Haesun K. Lee
Terrence Poon,Terrence C. Poon
S. Yanamanamanda,Satish K. Yanamanamanda
Stephen North,Stephen C. North
Gilberto Zonta Pastorello,Gilberto Zonta Pastorello Jr.
Ken H. Sears,Kenneth H. Sears
Leo Kroon,Leo G. Kroon
Hannu Tenhunnen,Hannu Tenhunen
P. Nuzzo,Pierluigi Nuzzo
Pierangelo Nuzzo,Pierluigi Nuzzo
J. Ll Lérida,Josep L. Lérida
Josep Lérida,Josep L. Lérida
Anabel Martin,Anabel Martín
Hedlena Bezerra,Hedlena M. de A. Bezerra
Koji Oohashi,Koji Ohashi
L. Brackenbury,L. E. M. Brackenbury
Dean Chatfield,Dean C. Chatfield
James Pair,James R. Pair
Amit Jardosh,Amit P. Jardosh
Jason Skicewicz,Jason A. Skicewicz
Janet Read,Janet C. Read
Zao-Bin Gan,Zaobin Gan
Robert Mayo,Robert N. Mayo
Stephen Bryant,Stephen H. Bryant
Ilya Goldberg,Ilya G. Goldberg
A. Smirnov,Alexander V. Smirnov
Yu-Chun Ma,Yuchun Ma
Georgeorge Manis,George Manis
Nikolaos Vlanchantonis,Nikolaos Vlachantonis
Brian Simpson,Brian D. Simpson
Baltazar Frankovic,Baltazár Frankovic
Greg G. Slabaugh,Gregory G. Slabaugh
Maziar Gudarzi,Maziar Goudarzi
Zheng Jing,Jing Zheng
William Marnane,William P. Marnane
Jyh-Jiun Shann,Jean Jyh-Jiun Shann
Tony Lewis,Tony E. Lewis
Claudia Frydman,Claudia S. Frydman
Thomas Kepler,Thomas B. Kepler
S. M. Fakhraie,Seid Mehdi Fakhraie
José Sepúlveda,José A. Sepúlveda
D. Lindqvist,Dan Lindqvist
Branden Moore,Branden J. Moore
H. J. Smith,H. J. Smith Jr.
Benjamin Bornstein,Benjamin J. Bornstein
Marshall Freimer,Marshall L. Freimer
Jerry Potter,Jerry L. Potter
Vijay Sarathy,Vijay M. Sarathy
Juan Quiroz,Juan C. Quiroz
L. Benini,Luca Benini
Yang Kan,Kan Yang
Andrew Sabri,Andrew J. Sabri
Gregory Wolff,Gregory J. Wolff
W. Vasconcelos,Wamberto Weber Vasconcelos
Darren Buttle,Darren L. Buttle
T. Hubbard,Tim J. P. Hubbard
Anne Marie Fleming,Annemarie Fleming
Marcella Cowen,Marcella L. Cowen
Miguel Melgarejo,Miguel A. Melgarejo
Noah Prywes,Noah S. Prywes
R. Ubachs,R. L. J. M. Ubachs
Su Jinshu,Jinshu Su
Richard Conlan,Richard M. Conlan
Liang-Xi Qin,Liangxi Qin
O. Makeyev,Oleksandr Makeyev
Donna Russell,Donna L. Russell
T. Olsson,Thomas Olsson
W. Schafer,Wilhelm Schäfer
Estefane Lacerda,Estefane G. M. de Lacerda
Ernst Kussul,Ernst M. Kussul
Yun-Tao Qian,Yuntao Qian
Xiao-Dong Zhuang,Xiaodong Zhuang
Luz Pinzon,Luz E. Pinzon
P. Nilsson,Peter Nilsson
Ben Calhoun,Benton H. Calhoun
Gordon Mawdsley,Gordon E. Mawdsley
Dave Millard,David Millard
Andras Valko,András Gergely Valkó
David Dampier,David A. Dampier
Suk-Hoon Kang,Sukhoon Kang
Danius Michaelides,Danius T. Michaelides
Ram Rajamony,Ramakrishnan Rajamony
M. Reinges,Marcus H. T. Reinges
Ed Coe,Edward H. Coe
Laurence Leff,Laurence L. Leff
Russell Shackelford,Russell L. Shackelford
Tim Dallman,Timothy Dallman
Evan Graham,Evan D. Graham
Robert Senger,Robert M. Senger
Tom Keller,Tom W. Keller
M. M. Hayat,Majeed M. Hayat
M. Hayat,Majeed M. Hayat
Cheekong Chui,Chee-Kong Chui
Kil Sup Lee,Kilsup Lee
Dan Bauer,Daniel Bauer
David Kunzman,David M. Kunzman
Javid Jafari,Javid Jaffari
Zeng-Qi Sun,Zengqi Sun
Martha Sharp Joukowski,Martha Sharp Joukowsky
Kurt Fleischer,Kurt W. Fleischer
André Barroso,André M. Barroso
Ananth Kalyanaraman,Anantharaman Kalyanaraman
Thazhuthaveetil J. Thazhuthaveetil,Matthew J. Thazhuthaveetil
Zong-Tian Liu,Zongtian Liu
N. N. Barsoum,Nadir Barsoum
Serhii Zhak,Serhii M. Zhak
Harold Ward,Harold N. Ward
Rick Riolo,Rick L. Riolo
Rabin Patra,Rabin K. Patra
Melanie Dulong de Rosnay,Mélanie Dulong de Rosnay
You-Feng Li,Youfeng Li
Shan-Hong Xia,Shanhong Xia
Dan Meegan,Daniel V. Meegan
Jian-Feng Ma,Jianfeng Ma
Ma Jian-Feng Ma,Jianfeng Ma
Peter Tonellato,Peter J. Tonellato
Jason D. Hiser,Jason Hiser
Yuan-bo Guo,Yuanbo Guo
David Greenberg,David S. Greenberg
Hong-shan Jiang,Hongshan Jiang
S. Narravula,Sundeep Narravula
Zhi-Lian Yang,Zhilian Yang
Ling-Feng Mao,Lingfeng Mao
Marsíia Jesús Garzaran,María Jesús Garzarán
Faisal Bashir,Faisal I. Bashir
Ya-Lou Huang,Yalou Huang
Gregory Snider,Gregory L. Snider
S. Ravot,Sylvain Ravot
Andrew Olson,Andrew M. Olson
Le-Qiu Qian,Leqiu Qian
P. Martínez,Pablo Martínez
Rossa Gaeta,Rossano Gaeta
J. Bunn,Julian J. Bunn
Matthias Blumrich,Matthias A. Blumrich
Soon Park,Soon J. Park
A. Oliner,Adam J. Oliner
Mehmet Özkan,Mehmet K. Özkan
Mehmet K. Ozkan,Mehmet K. Özkan
Martin Subkraut,Martin Süßkraut
Martin Susskraut,Martin Süßkraut
Alberto Chávez,J. Alberto Chávez
J. Alberto Chavez,J. Alberto Chávez
Bei-xing Deng,Beixing Deng
Wen Jing Hsu,Wen-Jing Hsu
Eun Ser Lee,Eun-ser Lee
G. M. Sipahi,G. M. Sipahi Jr.
Yong-Long Luo,Yonglong Luo
Brian Degnan,Brian P. Degnan
Ae-Soon Park,Aesoon Park
Hye-Yeon Kwon,Hyeyeon Kwon
Nourredine Zerhouni,Noureddine Zerhouni
Da Qing Zhang,Daqing Zhang
Brent Langley,Brent K. Langley
Eul Gyu Im,Eul-Gyu Im
John Clarkson,P. John Clarkson
Rampraso Ravichandran,Ramprasad Ravichandran
Ick-Soo Lee,Icksoo Lee
Stephen Harman,Stephen A. Harman
S. C. P. Rodrigues,S. C. P. Rodrigues Jr.
Liu-Sheng Huang,Liusheng Huang
S. Hassas,Salima Hassas
Pablo Martinez,Pablo Martínez
Joel Pradines,Joël R. Pradines
Li Zhi-tang,Zhitang Li
Luís Miguel Silveira,Luis Miguel Silveira
Subhas Misra,Subhas C. Misra
María Isabel Gonzalez Vasco,Maria Isabel Gonzalez Vasco
Hai-bin Yu,Haibin Yu
José de J. Pérez-Alcázar,José de Jesús Pérez Alcázar
Daniel F. DeMenthon,Daniel DeMenthon
Yun-Jiao Xue,Yunjiao Xue
M. N. El-Gamal,Mourad N. El-Gamal
Si-Wei Luo,Siwei Luo
Young-Ho Hwang,Youngho Hwang
Jonathan Rowe,Jonathan E. Rowe
Richard Carrillo,Richard R. Carrillo
J. Xia,Jinshi Xia
Xiao-Xiao Niu,Xiaoxiao Niu
S. Yan,Shangyao Yan
James Thornton,James D. Thornton
