# OLD_NAME, NEW_NAME
Corinne L. Jorgensen,Corinne L. Jörgensen
W. Glanzel,Wolfgang Glanzel
Kemji Mase,Kenji Mase
Tarak N. Saadawi,Tarek N. Saadawi
James Schnepf,James A. Schnepf
Franceso Ranzato,Francesco Ranzato
Michel Banâre,Michel Banâtre
Leila de Floriani,Leila De Floriani
S. Riccobene,Salvatore Riccobene
N. M. Sgouros,Nikitas M. Sgouros
F. Arman,Farshid Arman
A. Ginsberg,Allen Ginsberg
Gerard G. Medioni,Gérard G. Medioni
Alistair Sutcliffe,Alistair G. Sutcliffe
R. Depommier,Remi Depommier
William J. Grosky,William I. Grosky
Y. Birk,Yitzhak Birk
T. M. Caelli,Terry Caelli
Afredo De Santis,Alfredo De Santis
H. Tezuka,Hiroshi Tezuka
Ernst W. Biersack,Ernst Biersack
F. Cao,Feng Cao
S. Gai,Silvano Gai
Mattias A. Blumrich,Matthias A. Blumrich
Allen C.- H. Wu,Allen C.-H. Wu
Berhard Rohfleisch,Bernhard Rohfleisch
Borko Furth,Borko Furht
Nich Kanopoulos,Nick Kanopoulos
H. De Man,Hugo De Man
C. W. H. Lam,Clement W. H. Lam
Jochen Messner,Jochen Meßner
Prem R. Menon,Premachandran R. Menon
Vasco T. Vasconcelos,Vasco Thudichum Vasconcelos
A. J. Bennett,Andrew J. Bennett
N.V. Vinodchandran,N. V. Vinodchandran
Gary Tyson,Gary S. Tyson
A. P. Ferry,Audrey Ferry
Matti Penttonen,Martti Penttonen
J. Duprat,Jean Duprat
D. Trystram,Denis Trystram
Tse-yun Feng,Tse-Yun Feng
Gudala Rünger,Gudula Rünger
Betty H.C. Cheng,Betty H. C. Cheng
Bard S. Crawford,Brad S. Crawford
Josep Domingo i Ferrer,Josep Domingo-Ferrer
Mandana Vaziri-Farahani,Mandana Vaziri
Vijaj K. Bhargava,Vijay K. Bhargava
F. Staes,François Staes
Judith Dahmann,Judith S. Dahmann
Gerge Greco,Sergio Greco
R. P. Cheetham,Robert P. Cheetham
Sanjay Manchandra,Sanjay Manchanda
Rachid Guerraoui Agnes Lanusse,Rachid Guerraoui
J. Riquelme,José Riquelme
Brain A. Barsky,Brian A. Barsky
Ioanis Fudos,Ioannis Fudos
S. W. Somoliar,Stephen W. Smoliar
F. Ramparany,Fano Ramparany
H. Tirri,Henry Tirri
Piere Marcenac,Pierre Marcenac
Stefano Parabosch,Stefano Paraboschi
George Gardarin,Georges Gardarin
T. Estlin,Tara A. Estlin
Guru Parulkar,Guru M. Parulkar
Alean Kean,Alex Kean
Takahira Yamagchi,Takahira Yamaguchi
Sten-Å. Tärnlund,Sten-Åke Tärnlund
Krithi Ramamirtham,Krithi Ramamritham
Robert Fitzgerald,Robert P. Fitzgerald
Steve McCanne,Steven McCanne
Ronald P. Bianchini Jr,Ronald P. Bianchini Jr.
S. K. S. Gupta,Sandeep K. S. Gupta
S. Sunder,Sivaprakasam Sunder
L. Narayanan,Lata Narayanan
Paul Leach,Paul J. Leach
Kaylan S. Perumalla,Kalyan S. Perumalla
Kalyan Perumalla,Kalyan S. Perumalla
Salil Vadhan,Salil P. Vadhan
S. M. Sripada,Suryanarayana M. Sripada
S. Sripada,Suryanarayana M. Sripada
A. Wolman,Alec Wolman
F. Sha,Fei Sha
Claudia Bauyer Medeiros,Claudia Bauzer Medeiros
H. Altay Guvenir,H. Altay Güvenir
Ragnuthan Rajkumar,Ragunathan Rajkumar
P. Mussio,Piero Mussio
Tejo Harju,Tero Harju
Asish Mukhopadhayay,Asish Mukhopadhyay
Domenico Scaccà,Domenico Saccà
James Henriksen,James O. Henriksen
S. P. Morgan,Stephen P. Morgan
Ravi Kumar,S. Ravi Kumar
F. A. Stomp,Frank A. Stomp
Jeffrey O. Shallit,Jeffrey Shallit
K. Heidtmann,Klaus D. Heidtmann
Erik Demaine,Erik D. Demaine
Charles Martel,Charles U. Martel
Zito Michele,Michele Zito
mien Syu,Inien Syu
S. Sakata,Shiro Sakata
H. Fukuoka,Hideyuki Fukuoka
Daniel Barbará-Millá,Daniel Barbará
Dave De Roure,David De Roure
T. Yatabe,Tomoyuki Yatabe
S. Mahaney,Stephen R. Mahaney
Daniel Spielman,Daniel A. Spielman
Hong-zhou Li,Hong-Zhou Li
Lofti A. Zadeh,Lotfi A. Zadeh
Dabid M. Nicol,David M. Nicol
Dick Tsur,Shalom Tsur
Gregory Zick,Gregory L. Zick
Reid D. Simmons,Reid G. Simmons
Reid Simmons,Reid G. Simmons
R. Simmons,Reid G. Simmons
D. H. Pitt,David H. Pitt
David Pitt,David H. Pitt
A. Sahuguet,Arnaud Sahuguet
P. Goralcik,Pavel Goralcik
Giuseppe de Giacomo,Giuseppe De Giacomo
David Helmbold,David P. Helmbold
Benrhard Pfahringer,Bernhard Pfahringer
Steve W. Norton,Steven W. Norton
David Hand,David J. Hand
Hanjal Andréka,Hajnal Andréka
P. Jappy,Pascal Jappy
W. Merzenich,Wolfgang Merzenich
Wayne F. Iba,Wayne Iba
Marie Desjardins,Marie desJardins
Akihiko Konogaya,Akihiko Konagaya
S. Jovalekic,Silvije Jovalekic
Stuart Russell,Stuart J. Russell
Jean Frederic Myoupo,Jean Frédéric Myoupo
Jean-Frédéric Myoupo,Jean Frédéric Myoupo
Jan Van den Nussche,Jan Van den Bussche
Jörg-Rügiger Sack,Jörg-Rüdiger Sack
Warwich B. Mugridge,Warwick B. Mugridge
Marian Gunsher Sackrowit,Marian Gunsher Sackrowitz
Eugenia Smirni,Evgenia Smirni
M. Telek,Miklós Telek
Srinivasa R. Arikati,Srinivasa Rao Arikati
Celina M. H. de Figueiredo,Celina M. Herrera de Figueiredo
Eenrico Nardelli,Enrico Nardelli
Vanja Josifovskif,Vanja Josifovski
Julian Padget,Julian A. Padget
J. Padget,Julian A. Padget
Michael Spivey,J. Michael Spivey
J. M. Spivey,J. Michael Spivey
Ernst Leiss,Ernst L. Leiss
Larry Druffel,Larry E. Druffel
Barat Jayaraman,Bharat Jayaraman
Hans Leiss,Hans Leiß
Danny Hillis,W. Daniel Hillis
G. N. Dixon,Graeme N. Dixon
Franï¿½oise Bellegarde,Françoise Bellegarde
M. Mikelsons,Martin Mikelsons
Richard Gavaldà,Ricard Gavaldà
Ytzhak Levendel,Ytzhak H. Levendel
Gillermo Arango,Guillermo Arango
G.-C. Roman,Gruia-Catalin Roman
E. E. Nahouraii,E. Nahouraii
M. Agrawal,Manindra Agrawal
N. Minski,Naftaly H. Minsky
Normal W. Paton,Norman W. Paton
Sven Dickinson,Sven J. Dickinson
S. M. O'Brien,Stella M. O'Brien
David Nadeau,David R. Nadeau
Mitchell Resnick,Mitchel Resnick
R. Levin,Roy Levin
S. Kapidakis,Sarantos Kapidakis
Kevin L. Compton,Kevin J. Compton
S. Panchanathan,Sethuraman Panchanathan
Ahvin Radiya,Ashvin Radiya
Christoph J. Merz,Christopher J. Merz
Gillis Bernot,Gilles Bernot
John Talburt,John R. Talburt
Valé Gay,Valérie Gay
Ralph Wilkerson,Ralph W. Wilkerson
E. Cohen,Ellis S. Cohen
David L. Poole,David Poole
Jukab Segen,Jakub Segen
Douglas H. Fisher,Douglas Fisher
Bernd Deifel,Bernhard Deifel
Allen B. Montz,Allen Brady Montz
A. Brady Montz,Allen Brady Montz
Thomas Funkhouser,Thomas A. Funkhouser
T. A. Funkhouser,Thomas A. Funkhouser
S. P. Uselton,Samuel P. Uselton
Samuel Uselton,Samuel P. Uselton
Fred Wieland,Frederick Wieland
H. Buhrman,Harry Buhrman
Helmuth Veith,Helmut Veith
Ken Fishkin,Kenneth P. Fishkin
Michael L. Van De Vanter,Michael L. Van de Vanter
Albert Crocker,Albert Croker
C. W. A. M. Van Overveld,C. W. A. M. van Overveld
N. L. Sadra,Nandlal L. Sarda
D. van Melkebeek,Dieter van Melkebeek
Marie-Christie Fauvet,Marie-Christine Fauvet
Brian Guenter,Brian K. Guenter
Lee,Tony T. Lee
Kumar,Anil Kumar
Alfonso Fugetta,Alfonso Fuggetta
Qian Ping Gu,Qian-Ping Gu
Johannes Koebler,Johannes Köbler
Shridhar Ramaswamy,Sridhar Ramaswamy
Magnús M. Halldörsson,Magnús M. Halldórsson
Caetano Traina Junior,Caetano Traina Jr.
S. K Chang,S. K. Chang
Siu-Kuo Chang,Shi-Kuo Chang
Anastasios K. Tsakalidis,Athanasios K. Tsakalidis
Athanasios Tsakalidis,Athanasios K. Tsakalidis
G. T. Nguyen,Gia Toan Nguyen
Nguyen Gia Toan,Gia Toan Nguyen
F. Lombardi,Fabrizio Lombardi
Vojtech Rö,dl,Vojtech Rödl
L. Prechelt,Lutz Prechelt
M. D. Lubars,Mitchell D. Lubars
Mitchell Lubars,Mitchell D. Lubars
Biaka Buschbeck-Wolf,Bianka Buschbeck-Wolf
Theresa-Maria Rhyne,Theresa-Marie Rhyne
Richard Newman-Wolfe,Richard E. Newman-Wolfe
Esther Pacitt,Esther Pacitti
Collette Johnen,Colette Johnen
N. Belkin,Nicholas J. Belkin
C. Cool,Colleen Cool
Vagan Terziyan,Vagan Y. Terziyan
Vaagan Y. Terziyan,Vagan Y. Terziyan
David W. Cheung,David Wai-Lok Cheung
A. Bamford,Roger Bamford
T. Johnson,Theodore Johnson
Haigeng Weng,Haigeng Wang
S. Yajima,Shuzo Yajima
Matthhew Chalmers,Matthew Chalmers
F.abioRinaldi,Fabio Rinaldi
N. Narayan Kumar,K. Narayan Kumar
Aantony I. T. Rowstron,Antony I. T. Rowstron
Mark Najork,Marc Najork
Jean-Chrysotome Bolot,Jean-Chrysostome Bolot
S. Mukhopadhyay,Snehasis Mukhopadhyay
A. Hafid,Abdelhakim Hafid
H. C. Davis,Hugh C. Davis
M. Palakal,Mathew Palakal
Hèléne Collavizza,Hélène Collavizza
Serenella Cerritoa,Serenella Cerrito
Dagmar Köhle,Dagmar Köhler
Paul Spirakis,Paul G. Spirakis
Luc Re Raedt,Luc De Raedt
R. Cucchiara,Rita Cucchiara
Henrique Joã L. Domingos,Henrique João L. Domingos
Joonoo Kim T. H. Liu,Joonoo Kim
A. Brass,Andy Brass
Lizy K. John,Lizy Kurian John
Boting Yang,Bo-Ting Yang
Thomas Rokicki,Tomas Rokicki
David N. Kinny,David Kinny
Michael Georgeff,Michael P. Georgeff
László Böszörmenyi,László Böszörményi
Bernhard Mans,Bernard Mans
Willam C. Hill,William C. Hill
S. Robertson,Stephen E. Robertson
Krishna Mikkilineni,Krishna P. Mikkilineni
